Skupina,Dolni_Prah_Prob,Horni_Prah_Prob,Skutecna_Chybovost,Pocet_Zaznamu
1,0.0,0.3178293717277953,0.004970719583610772,410001
2,0.3178293717277953,0.5478039572024193,0.01996271186440678,295000
3,0.5478039572024193,0.7377189898413314,0.049955,200000
4,0.7377189898413314,1.0,0.11906225173504414,66713
